"filename", "language", "Dart", "YAML", "Properties", "Markdown", "JSON", "Groovy", "HTML", "C++", "Swift", "XML", "comment", "blank", "total"
"c:\Programovanie\Flutter\Projects\GiulioTranslator\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 3, 11, 63
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\google-services.json", "JSON", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 0, 55
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 11, 4, 49
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 7, 2, 13
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 9, 1, 19
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 3, 1, 8
