"filename", "language", "YAML", "Dart", "comment", "blank", "total"
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\authentication_service.dart", "Dart", 0, -7, 0, 0, -7
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\SignInScreen.dart", "Dart", 0, 12, -1, 0, 11
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ChatHeaderWidget.dart", "Dart", 0, -7, 8, 0, 1
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\MessageWidget.dart", "Dart", 0, 11, 0, 0, 11
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\ChatRoom.dart", "Dart", 0, 0, 0, 1, 1
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NewMessageWidget.dart", "Dart", 0, 38, 0, 3, 41
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatPage.dart", "Dart", 0, 11, 0, 0, 11
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ProfieHeaderWIdget.dart", "Dart", 0, -1, 0, -1, -2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\SearchUsers.dart", "Dart", 0, 33, 3, 4, 40
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\data.dart", "Dart", 0, 1, 1, 0, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\firebase_api.dart", "Dart", 0, -68, -11, -14, -93
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Translator.dart", "Dart", 0, 3, 0, 0, 3
"c:\Programovanie\Flutter\Projects\GiulioTranslator\pubspec.yaml", "YAML", 3, 0, -3, 0, 0
"Total", "-", 3, 26, -3, -7, 19
