"filename", "language", "YAML", "Dart", "XML", "Zip", "comment", "blank", "total"
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 6, 0, 0, 1, 7
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 5, 0, -5, 0, 0
"c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 5, 0, -5, 0, 0
"c:\Programovanie\Flutter\Projects\GiulioTranslator\assets\flag-icons-main.zip", "Zip", 0, 0, 0, 12527, 0, 55, 12582
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\TranslationsModel.dart", "Dart", 0, 37, 0, 0, 0, 7, 44
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\authentication_service.dart", "Dart", 0, 72, 0, 0, 1, 2, 75
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\main.dart", "Dart", 0, 7, 0, 0, 1, 2, 10
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\providers\translate_text_provider.dart", "Dart", 0, 8, 0, 0, 0, 1, 9
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\EditProfile.dart", "Dart", 0, 240, 0, 0, 1, 9, 250
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\HomeScreen.dart", "Dart", 0, -1, 0, 0, -4, -1, -6
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\RegisterScreen.dart", "Dart", 0, 81, 0, 0, 3, 3, 87
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\SavedTranslations.dart", "Dart", 0, 115, 0, 0, 4, 7, 126
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\ScannerScreen.dart", "Dart", 0, -62, 0, 0, -17, -9, -88
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ChatBodyWidget.dart", "Dart", 0, 10, 0, 0, 28, 2, 40
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ChatHeaderWidget.dart", "Dart", 0, 10, 0, 0, -8, 0, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Location.dart", "Dart", 0, 0, 0, 0, 0, 2, 2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\MessageWidget.dart", "Dart", 0, -2, 0, 0, 0, 0, -2
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\ChatRoom.dart", "Dart", 0, 28, 0, 0, 0, 5, 33
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\User.dart", "Dart", 0, 6, 0, 0, 0, 0, 6
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NearbyUsers.dart", "Dart", 0, 160, 0, 0, 2, 13, 175
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NewMessageWidget.dart", "Dart", 0, 47, 0, 0, 0, 3, 50
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatsPage.dart", "Dart", 0, 4, 0, 0, 1, -1, 4
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\RequestsWidget.dart", "Dart", 0, -1, 0, 0, 0, 0, -1
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\SearchUsers.dart", "Dart", 0, 1, 0, 0, 0, 0, 1
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\data.dart", "Dart", 0, 6, 0, 0, -7, 1, 0
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\firebase_api.dart", "Dart", 0, 41, 0, 0, 7, 8, 56
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\CustomDrawer.dart", "Dart", 0, 0, 0, 0, 49, 0, 49
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LaguageSelector.dart", "Dart", 0, 79, 0, 0, -2, 3, 80
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Translator.dart", "Dart", 0, 48, 0, 0, 0, 1, 49
"c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\profileInfo.dart", "Dart", 0, 29, 0, 0, -7, 3, 25
"c:\Programovanie\Flutter\Projects\GiulioTranslator\pubspec.yaml", "YAML", 5, 0, 0, 0, 1, 1, 7
"Total", "-", 5, 963, 16, 12527, 43, 118, 13672
