Date : 2022-04-06 09:18:13
Directory : c:\Programovanie\Flutter\Projects\GiulioTranslator
Total : 64 files,  17563 codes, 452 comments, 446 blanks, all 18461 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| Zip        |          1 |     12,527 |          0 |         55 |     12,582 |
| Dart       |         38 |      4,461 |        354 |        307 |      5,122 |
| JSON       |          4 |        223 |          0 |          3 |        226 |
| XML        |         10 |        150 |         41 |         16 |        207 |
| Groovy     |          3 |        103 |          3 |         24 |        130 |
| YAML       |          1 |         38 |         38 |         22 |         98 |
| HTML       |          1 |         26 |         15 |          5 |         46 |
| Markdown   |          2 |         13 |          0 |          9 |         22 |
| Swift      |          1 |         12 |          0 |          2 |         14 |
| Properties |          2 |          9 |          1 |          2 |         12 |
| C++        |          1 |          1 |          0 |          1 |          2 |
+------------+------------+------------+------------+------------+------------+

Directories
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                             | files      | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                |         64 |     17,563 |        452 |        446 |     18,461 |
| android                                                                                                          |         13 |        251 |         43 |         39 |        333 |
| android\app                                                                                                      |          9 |        206 |         42 |         28 |        276 |
| android\app\src                                                                                                  |          7 |         84 |         39 |         13 |        136 |
| android\app\src\debug                                                                                            |          1 |          4 |          3 |          1 |          8 |
| android\app\src\main                                                                                             |          5 |         76 |         33 |         11 |        120 |
| android\app\src\main\res                                                                                         |          4 |         36 |         22 |          6 |         64 |
| android\app\src\main\res\drawable                                                                                |          1 |          9 |          2 |          2 |         13 |
| android\app\src\main\res\drawable-v21                                                                            |          1 |          9 |          2 |          2 |         13 |
| android\app\src\main\res\values                                                                                  |          1 |          9 |          9 |          1 |         19 |
| android\app\src\main\res\values-night                                                                            |          1 |          9 |          9 |          1 |         19 |
| android\app\src\profile                                                                                          |          1 |          4 |          3 |          1 |          8 |
| android\gradle                                                                                                   |          1 |          5 |          1 |          1 |          7 |
| android\gradle\wrapper                                                                                           |          1 |          5 |          1 |          1 |          7 |
| assets                                                                                                           |          2 |     12,532 |          0 |         56 |     12,588 |
| assets\icons                                                                                                     |          1 |          5 |          0 |          1 |          6 |
| ios                                                                                                              |          7 |        222 |          2 |          9 |        233 |
| ios\Runner                                                                                                       |          7 |        222 |          2 |          9 |        233 |
| ios\Runner\Assets.xcassets                                                                                       |          3 |        148 |          0 |          4 |        152 |
| ios\Runner\Assets.xcassets\AppIcon.appiconset                                                                    |          1 |        122 |          0 |          1 |        123 |
| ios\Runner\Assets.xcassets\LaunchImage.imageset                                                                  |          2 |         26 |          0 |          3 |         29 |
| ios\Runner\Base.lproj                                                                                            |          2 |         61 |          2 |          2 |         65 |
| lib                                                                                                              |         37 |      4,461 |        354 |        305 |      5,120 |
| lib\providers                                                                                                    |          2 |        134 |          1 |         36 |        171 |
| lib\screens                                                                                                      |          6 |      1,134 |        131 |         49 |      1,314 |
| lib\widgets                                                                                                      |         26 |      2,913 |        219 |        192 |      3,324 |
| lib\widgets\Chat                                                                                                 |         19 |      1,326 |        140 |        138 |      1,604 |
| lib\widgets\Chat\Model                                                                                           |          3 |        125 |          0 |         21 |        146 |
| lib\widgets\Chat\Page                                                                                            |          2 |        106 |          1 |          9 |        116 |
| lib\widgets\Languages                                                                                            |          2 |      1,006 |          4 |         17 |      1,027 |
| test                                                                                                             |          1 |          0 |          0 |          2 |          2 |
| web                                                                                                              |          2 |         49 |         15 |          6 |         70 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                                         | language   | code       | comment    | blank      | total      |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Programovanie\Flutter\Projects\GiulioTranslator\README.md                                                     | Markdown   |         10 |          0 |          7 |         17 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\build.gradle                                      | Groovy     |         67 |          3 |         15 |         85 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\google-services.json                              | JSON       |         55 |          0 |          0 |         55 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\debug\AndroidManifest.xml                     | XML        |          4 |          3 |          1 |          8 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\AndroidManifest.xml                      | XML        |         40 |         11 |          5 |         56 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\drawable-v21\launch_background.xml   | XML        |          9 |          2 |          2 |         13 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\drawable\launch_background.xml       | XML        |          9 |          2 |          2 |         13 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\values-night\styles.xml              | XML        |          9 |          9 |          1 |         19 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\main\res\values\styles.xml                    | XML        |          9 |          9 |          1 |         19 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\app\src\profile\AndroidManifest.xml                   | XML        |          4 |          3 |          1 |          8 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\build.gradle                                          | Groovy     |         28 |          0 |          5 |         33 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\gradle.properties                                     | Properties |          4 |          0 |          1 |          5 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\gradle\wrapper\gradle-wrapper.properties              | Properties |          5 |          1 |          1 |          7 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\android\settings.gradle                                       | Groovy     |          8 |          0 |          4 |         12 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\assets\flag-icons-main.zip                                    | Zip        |     12,527 |          0 |         55 |     12,582 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\assets\icons\thumbs-up.svg                                    | XML        |          5 |          0 |          1 |          6 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\AppDelegate.swift                                  | Swift      |         12 |          0 |          2 |         14 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json   | JSON       |        122 |          0 |          1 |        123 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json | JSON       |         23 |          0 |          1 |         24 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md     | Markdown   |          3 |          0 |          2 |          5 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Base.lproj\LaunchScreen.storyboard                 | XML        |         36 |          1 |          1 |         38 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Base.lproj\Main.storyboard                         | XML        |         25 |          1 |          1 |         27 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\ios\Runner\Runner-Bridging-Header.h                           | C++        |          1 |          0 |          1 |          2 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\TranslationsModel.dart                                    | Dart       |         37 |          0 |          7 |         44 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\authentication_service.dart                               | Dart       |        166 |          2 |         11 |        179 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\main.dart                                                 | Dart       |         77 |          1 |         10 |         88 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\providers\language_selector_provider.dart                 | Dart       |         75 |          0 |         24 |         99 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\providers\translate_text_provider.dart                    | Dart       |         59 |          1 |         12 |         72 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\ChatScreen.dart                                   | Dart       |         78 |         84 |          5 |        167 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\EditProfile.dart                                  | Dart       |        240 |          1 |          9 |        250 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\HomeScreen.dart                                   | Dart       |         70 |         35 |          6 |        111 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\RegisterScreen.dart                               | Dart       |        400 |          6 |         12 |        418 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\SavedTranslations.dart                            | Dart       |        115 |          4 |          7 |        126 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\screens\SignInScreen.dart                                 | Dart       |        231 |          1 |         10 |        242 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ChatBodyWidget.dart                          | Dart       |        112 |         33 |          9 |        154 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ChatHeaderWidget.dart                        | Dart       |        158 |          0 |          6 |        164 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Location.dart                                | Dart       |          0 |          0 |          2 |          2 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\MessageWidget.dart                           | Dart       |         57 |          0 |          7 |         64 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\MessagesWidget.dart                          | Dart       |         48 |          0 |          8 |         56 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\ChatRoom.dart                          | Dart       |         28 |          0 |          6 |         34 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\Message.dart                           | Dart       |         33 |          0 |          7 |         40 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Model\User.dart                              | Dart       |         64 |          0 |          8 |         72 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NearbyUsers.dart                             | Dart       |        160 |          2 |         13 |        175 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\NewMessageWidget.dart                        | Dart       |        147 |          0 |         13 |        160 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatPage.dart                           | Dart       |         55 |          0 |          5 |         60 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\Page\ChatsPage.dart                          | Dart       |         51 |          1 |          4 |         56 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\ProfieHeaderWIdget.dart                      | Dart       |         50 |          0 |          4 |         54 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\RequestsWidget.dart                          | Dart       |        116 |          4 |          7 |        127 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\SearchUsers.dart                             | Dart       |        138 |         22 |         11 |        171 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\data.dart                                    | Dart       |         12 |          0 |          4 |         16 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\firebase_api.dart                            | Dart       |         76 |          7 |         14 |         97 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\users.dart                                   | Dart       |          0 |         71 |          2 |         73 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Chat\utils.dart                                   | Dart       |         21 |          0 |          8 |         29 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\CustomDrawer.dart                                 | Dart       |         99 |         50 |          4 |        153 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LaguageSelector.dart                    | Dart       |        369 |          4 |         16 |        389 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Languages\LanguagesList.dart                      | Dart       |        637 |          0 |          1 |        638 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\OrDIvider.dart                                    | Dart       |         39 |          0 |          4 |         43 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\Translator.dart                                   | Dart       |        313 |          2 |         16 |        331 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\microsoft_translate_request.dart                  | Dart       |          0 |         22 |          4 |         26 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\lib\widgets\profileInfo.dart                                  | Dart       |        130 |          1 |          9 |        140 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\pubspec.yaml                                                  | YAML       |         38 |         38 |         22 |         98 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\test\widget_test.dart                                         | Dart       |          0 |          0 |          2 |          2 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\web\index.html                                                | HTML       |         26 |         15 |          5 |         46 |
| c:\Programovanie\Flutter\Projects\GiulioTranslator\web\manifest.json                                             | JSON       |         23 |          0 |          1 |         24 |
| Total                                                                                                            |            |     17,563 |        452 |        446 |     18,461 |
+------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
